NZ_CP157361.1	gb|KF513178.1|+|0-861|ARO:3001357|SHV-173	99.535	861	4	0	2931306	2932166	1	861	0.0	1568
NZ_CP157361.1	gb|AM176549.2|+|30-891|ARO:3001128|SHV-74	99.535	861	4	0	2931306	2932166	1	861	0.0	1568
NZ_CP157361.1	gb|AF208796.2|+|0-861|ARO:3001083|SHV-25	99.535	861	4	0	2931306	2932166	1	861	0.0	1568
NZ_CP157361.1	gb|AM176550.2|+|30-891|ARO:3001129|SHV-75	99.535	861	4	0	2931306	2932166	1	861	0.0	1568
NZ_CP157361.1	gb|KM233164.1|+|0-861|ARO:3003152|SHV-185	99.535	861	4	0	2931306	2932166	1	861	0.0	1568
NZ_CP157361.1	gb|DQ174307.1|+|4-865|ARO:3001122|SHV-67	99.535	861	4	0	2931306	2932166	1	861	0.0	1568
NZ_CP157361.1	gb|DQ174308.1|+|4-865|ARO:3001123|SHV-69	99.535	861	4	0	2931306	2932166	1	861	0.0	1568
NZ_CP157361.1	gb|MF804906.1|+|0-867|ARO:3005253|SHV-202	99.193	867	7	0	2931300	2932166	1	867	0.0	1563
NZ_CP157361.1	gb|NG_062285.1|+|0-861|ARO:3005251|SHV-213	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|NG_062289.1|+|0-861|ARO:3005250|SHV-217	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|NG_055668.1|+|0-861|ARO:3005249|SHV-203	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|NG_062281.1|+|0-861|ARO:3005242|SHV-209	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|NG_062296.1|+|0-861|ARO:3005240|SHV-224	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|NG_062286.1|+|0-861|ARO:3005235|SHV-214	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|NG_062280.1|+|0-861|ARO:3005226|SHV-208	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|JQ926986.1|+|0-861|ARO:3001345|SHV-144	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|AF293345.1|+|0-861|ARO:3001085|SHV-27	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|AF299299.1|+|0-861|ARO:3001086|SHV-28	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|AF535128.1|+|0-861|ARO:3001098|SHV-40	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|HQ877615.1|+|0-861|ARO:3001159|SHV-110	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|DQ322460.1|+|15-876|ARO:3001139|SHV-85	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|AM941845.1|+|0-861|ARO:3001337|SHV-99	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|AB302939.1|+|8-869|ARO:3001115|SHV-60	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|EF373970.1|+|0-861|ARO:3001146|SHV-94	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|AM176556.2|+|25-886|ARO:3001135|SHV-81	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|KJ776406.1|+|16-877|ARO:3001340|SHV-119	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|FJ668814.1|+|76-937|ARO:3001059|SHV-1	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|AM176552.2|+|30-891|ARO:3001131|SHV-77	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|EF373971.1|+|0-861|ARO:3001148|SHV-96	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|KF513177.1|+|0-861|ARO:3001356|SHV-172	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|HQ661363.1|+|71-932|ARO:3001181|SHV-137	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|HQ661362.1|+|71-932|ARO:3001168|SHV-121	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|AY070258.1|+|0-861|ARO:3001093|SHV-35	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|AJ866284.2|+|0-861|ARO:3001116|SHV-61	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|DQ193536.1|+|0-861|ARO:3001141|SHV-89	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|EU586041.1|+|0-861|ARO:3001112|SHV-56	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|KF976405.1|+|7837-8698|ARO:3001071|SHV-12	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|AM176554.2|+|30-891|ARO:3001133|SHV-79	99.419	861	5	0	2931306	2932166	1	861	0.0	1563
NZ_CP157361.1	gb|AM176558.2|+|0-861|ARO:3001137|SHV-83	99.418	859	5	0	2931308	2932166	3	861	0.0	1559
NZ_CP157361.1	gb|NG_050009.1|+|100-961|ARO:3001341|SHV-132	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|NG_050058.1|+|0-861|ARO:3005239|SHV-193	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|NG_050059.1|+|0-861|ARO:3005237|SHV-1b-b	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|NG_062279.1|+|0-861|ARO:3005236|SHV-207	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|NG_055503.1|+|0-861|ARO:3005232|SHV-199	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|NG_062291.1|+|0-861|ARO:3005231|SHV-219	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|NG_051521.1|+|0-861|ARO:3005229|SHV-196	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|NG_062298.1|+|0-861|ARO:3005228|SHV-226	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|NG_062278.1|+|0-861|ARO:3005227|SHV-206	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|NG_051169.1|+|0-861|ARO:3005223|SHV-194	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|NG_062288.1|+|0-861|ARO:3005215|SHV-216	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|NG_062284.1|+|0-861|ARO:3005212|SHV-212	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|KF705208.1|+|0-861|ARO:3001362|SHV-179	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|KF705209.1|+|0-861|ARO:3001361|SHV-178	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|JX013655.1|+|0-861|ARO:3001185|SHV-145	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|AY259119.1|+|116-977|ARO:3001102|SHV-44	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|AM941844.1|+|0-861|ARO:3001336|SHV-98	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|JX121127.1|+|0-861|ARO:3001199|SHV-160	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|AB372881.1|+|8-869|ARO:3001160|SHV-111	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|EF373972.1|+|0-861|ARO:3001147|SHV-95	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|X98102.1|+|73-934|ARO:3001061|SHV-2A	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|JQ341060.1|-|881-1742|ARO:3001344|SHV-143	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|AY289548.1|+|0-861|ARO:3001108|SHV-51	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|HQ637576.1|+|0-861|ARO:3001179|SHV-135	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|AF227204.1|+|73-934|ARO:3001084|SHV-26	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|AM176555.2|+|0-861|ARO:3001134|SHV-80	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|DAGGWD010000033.1|+|85-946|ARO:3001077|SHV-19	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|HM559945.1|+|0-861|ARO:3001178|SHV-134	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|DQ174306.1|+|4-865|ARO:3001121|SHV-66	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|EF373969.1|+|0-861|ARO:3001145|SHV-93	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|JX268631.1|+|0-861|ARO:3001091|SHV-33	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|JX121128.1|+|0-861|ARO:3001200|SHV-161	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|JX121124.1|+|0-861|ARO:3001196|SHV-157	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|AF226622.1|+|54-915|ARO:3001073|SHV-14	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|EF373973.1|+|0-861|ARO:3001149|SHV-97	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|AJ866285.2|+|0-861|ARO:3001117|SHV-62	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|HM751100.1|+|0-861|ARO:3001157|SHV-108	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|JQ029959.1|+|28-889|ARO:3001184|SHV-142	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|AY079099.1|+|148-1009|ARO:3001096|SHV-38	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|AF467947.1|+|0-861|ARO:3001094|SHV-36	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|DAGOBI010000132.1|+|1383-2244|ARO:3001065|SHV-6	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|AM176553.2|+|30-891|ARO:3001132|SHV-78	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|AY037778.1|+|91-952|ARO:3001090|SHV-32	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|EU155018.1|+|0-861|ARO:3001150|SHV-101	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|AF535130.1|+|0-861|ARO:3001100|SHV-42	99.303	861	6	0	2931306	2932166	1	861	0.0	1557
NZ_CP157361.1	gb|EU274581.1|+|0-861|ARO:3001153|SHV-104	99.302	860	6	0	2931307	2932166	2	861	0.0	1555
NZ_CP157361.1	gb|JX121115.1|+|0-858|ARO:3001187|SHV-148	99.416	856	5	0	2931306	2932161	1	856	0.0	1554
NZ_CP157361.1	gb|NG_050057.1|+|0-861|ARO:3003591|SHV-191	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|NG_068212.1|+|100-961|ARO:3001355|SHV-171	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|NG_062297.1|+|0-861|ARO:3005241|SHV-225	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|NG_062283.1|+|0-861|ARO:3005230|SHV-211	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|NG_062282.1|+|0-861|ARO:3005225|SHV-210	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|NG_057611.1|+|0-861|ARO:3005213|SHV-204	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|NG_062244.1|+|0-861|ARO:3005211|SHV-201	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|NG_051484.1|+|0-861|ARO:3005210|SHV-195	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|NG_062276.1|+|0-861|ARO:3005207|SHV-205	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|AY288915.1|+|0-861|ARO:3001107|SHV-50	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|AF301532.1|+|7-868|ARO:3001087|SHV-29	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|JF812965.1|+|0-861|ARO:3001167|SHV-120	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|DQ328802.1|+|0-861|ARO:3001140|SHV-86	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|DQ174305.1|+|4-865|ARO:3001120|SHV-65	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|EU418913.1|+|16-877|ARO:3001158|SHV-109	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|AY790341.1|+|0-861|ARO:3001114|SHV-59	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|AM176546.2|+|0-861|ARO:3001125|SHV-71	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|EU032604.1|+|0-861|ARO:3001152|SHV-103	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|AF148851.1|+|5-866|ARO:3001060|SHV-2	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|AM176551.2|+|30-891|ARO:3001130|SHV-76	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|KM233165.1|+|0-861|ARO:3003153|SHV-186	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|AM941847.1|+|0-861|ARO:3001155|SHV-106	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|JQ388884.1|+|0-861|ARO:3001183|SHV-141	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|AY223863.1|+|170-1031|ARO:3001113|SHV-57	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|AF467948.1|+|0-861|ARO:3001095|SHV-37	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|AM176557.2|+|0-861|ARO:3001136|SHV-82	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|AY528718.1|+|413-1274|ARO:3001106|SHV-49	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|AB551737.1|+|14-875|ARO:3001177|SHV-133	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|U92041.1|+|0-861|ARO:3001067|SHV-8	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|AJ011428.2|+|0-861|ARO:3001074|SHV-15	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|KP050487.1|+|0-861|ARO:3001350|SHV-180	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|HE981194.1|+|0-861|ARO:3001347|SHV-164	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|JX121119.1|+|0-858|ARO:3001191|SHV-152	99.301	858	6	0	2931306	2932163	1	858	0.0	1552
NZ_CP157361.1	gb|DQ174304.1|+|4-865|ARO:3001119|SHV-64	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|AB023477.1|+|0-861|ARO:3001082|SHV-24	99.187	861	7	0	2931306	2932166	1	861	0.0	1552
NZ_CP157361.1	gb|HG934764.1|+|0-864|ARO:3001351|SHV-183	99.074	864	5	1	2931306	2932166	1	864	0.0	1548
NZ_CP157361.1	gb|JN051143.1|+|0-861|ARO:3001182|SHV-140	99.185	859	7	0	2931308	2932166	3	861	0.0	1548
NZ_CP157361.1	gb|HM751103.1|+|0-864|ARO:3001169|SHV-122	99.074	864	5	3	2931306	2932166	1	864	0.0	1548
NZ_CP157361.1	gb|NG_067162.1|+|0-861|ARO:3001164|SHV-115	99.071	861	8	0	2931306	2932166	1	861	0.0	1546
NZ_CP157361.1	gb|NG_062293.1|+|0-861|ARO:3005252|SHV-221	99.071	861	8	0	2931306	2932166	1	861	0.0	1546
NZ_CP157361.1	gb|NG_052582.1|+|0-861|ARO:3005214|SHV-197	99.071	861	8	0	2931306	2932166	1	861	0.0	1546
NZ_CP157361.1	gb|NG_055284.1|+|0-861|ARO:3005209|SHV-198	99.071	861	8	0	2931306	2932166	1	861	0.0	1546
NZ_CP157361.1	gb|LT985229.1|+|36107-36968|ARO:3001063|SHV-4	99.071	861	8	0	2931306	2932166	1	861	0.0	1546
NZ_CP157361.1	gb|KX092356.1|+|192-1053|ARO:3001062|SHV-3	99.071	861	8	0	2931306	2932166	1	861	0.0	1546
NZ_CP157361.1	gb|KP050494.1|+|0-861|ARO:3003156|SHV-189	99.071	861	8	0	2931306	2932166	1	861	0.0	1546
NZ_CP157361.1	gb|X55640.1|+|111-972|ARO:3001064|SHV-5	99.071	861	8	0	2931306	2932166	1	861	0.0	1546
NZ_CP157361.1	gb|DAGGVK010000093.1|+|2639-3500|ARO:3001138|SHV-84	99.071	861	8	0	2931306	2932166	1	861	0.0	1546
NZ_CP157361.1	gb|JX121121.1|+|0-858|ARO:3001193|SHV-154	99.184	858	7	0	2931306	2932163	1	858	0.0	1546
NZ_CP157361.1	gb|AF547625.1|+|0-861|ARO:3001103|SHV-45	99.071	861	8	0	2931306	2932166	1	861	0.0	1546
NZ_CP157361.1	gb|AY263404.1|+|0-861|ARO:3001105|SHV-48	99.071	861	8	0	2931306	2932166	1	861	0.0	1546
NZ_CP157361.1	gb|EU342351.1|+|172-1033|ARO:3001118|SHV-63	99.071	861	8	0	2931306	2932166	1	861	0.0	1546
NZ_CP157361.1	gb|JX121114.1|+|0-858|ARO:3001186|SHV-147	99.184	858	7	0	2931306	2932163	1	858	0.0	1546
NZ_CP157361.1	gb|JX870080.1|+|0-861|ARO:3001352|SHV-168	99.071	861	8	0	2931306	2932166	1	861	0.0	1546
NZ_CP157361.1	gb|AJ863560.2|+|0-861|ARO:3001111|SHV-55	99.071	861	8	0	2931306	2932166	1	861	0.0	1546
NZ_CP157361.1	gb|JX121117.1|+|0-858|ARO:3001189|SHV-150	99.184	858	7	0	2931306	2932163	1	858	0.0	1546
NZ_CP157361.1	gb|AY065991.1|+|6-867|ARO:3001101|SHV-43	99.071	861	8	0	2931306	2932166	1	861	0.0	1546
NZ_CP157361.1	gb|EU024485.1|+|0-861|ARO:3001151|SHV-102	99.071	861	8	0	2931306	2932166	1	861	0.0	1546
NZ_CP157361.1	gb|AM176547.2|+|30-891|ARO:3001126|SHV-72	99.071	861	8	0	2931306	2932166	1	861	0.0	1546
NZ_CP157361.1	gb|GU827715.1|+|0-861|ARO:3001176|SHV-129	99.071	861	8	0	2931306	2932166	1	861	0.0	1546
NZ_CP157361.1	gb|AY661885.1|+|48-909|ARO:3001088|SHV-30	99.071	861	8	0	2931306	2932166	1	861	0.0	1546
NZ_CP157361.1	gb|DQ836922.1|+|0-861|ARO:3001144|SHV-92	99.071	861	8	0	2931306	2932166	1	861	0.0	1546
NZ_CP157361.1	gb|AF535129.1|+|0-861|ARO:3001099|SHV-41	99.071	861	8	0	2931306	2932166	1	861	0.0	1546
NZ_CP157361.1	gb|JX121130.1|+|0-858|ARO:3001202|SHV-163	99.182	856	7	0	2931306	2932161	1	856	0.0	1543
NZ_CP157361.1	gb|NG_050056.1|+|0-861|ARO:3003590|SHV-190	98.955	861	9	0	2931306	2932166	1	861	0.0	1541
NZ_CP157361.1	gb|NG_050020.1|+|0-861|ARO:3001346|SHV-146	98.955	861	9	0	2931306	2932166	1	861	0.0	1541
NZ_CP157361.1	gb|NG_055588.1|+|0-861|ARO:3005248|SHV-200	98.955	861	9	0	2931306	2932166	1	861	0.0	1541
NZ_CP157361.1	gb|NG_062290.1|+|0-861|ARO:3005238|SHV-218	98.955	861	9	0	2931306	2932166	1	861	0.0	1541
NZ_CP157361.1	gb|NG_062295.1|+|0-861|ARO:3005234|SHV-223	98.955	861	9	0	2931306	2932166	1	861	0.0	1541
NZ_CP157361.1	gb|NG_062292.1|+|0-861|ARO:3005224|SHV-220	98.955	861	9	0	2931306	2932166	1	861	0.0	1541
NZ_CP157361.1	gb|NG_062294.1|+|0-861|ARO:3005208|SHV-222	98.955	861	9	0	2931306	2932166	1	861	0.0	1541
NZ_CP157361.1	gb|U20270.1|+|124-985|ARO:3001066|SHV-7	98.955	861	9	0	2931306	2932166	1	861	0.0	1541
NZ_CP157361.1	gb|JX121118.1|+|0-858|ARO:3001190|SHV-151	99.068	858	8	0	2931306	2932163	1	858	0.0	1541
NZ_CP157361.1	gb|AY036620.1|+|88-949|ARO:3001092|SHV-34	98.955	861	9	0	2931306	2932166	1	861	0.0	1541
NZ_CP157361.1	gb|JX121116.1|+|0-858|ARO:3001188|SHV-149	99.068	858	8	0	2931306	2932163	1	858	0.0	1541
NZ_CP157361.1	gb|JX121120.1|+|0-858|ARO:3001192|SHV-153	99.068	858	8	0	2931306	2932163	1	858	0.0	1541
NZ_CP157361.1	gb|LN515534.1|+|0-873|ARO:3003155|SHV-188	98.625	873	6	1	2931300	2932166	1	873	0.0	1541
NZ_CP157361.1	gb|AF132290.1|+|87-948|ARO:3001076|SHV-18	98.955	861	9	0	2931306	2932166	1	861	0.0	1541
NZ_CP157361.1	gb|HQ845196.1|+|0-861|ARO:3001109|SHV-52	98.955	861	9	0	2931306	2932166	1	861	0.0	1541
NZ_CP157361.1	gb|JX121131.1|+|0-858|ARO:3001203|SHV-165	98.951	858	9	0	2931306	2932163	1	858	0.0	1535
NZ_CP157361.1	gb|AY210887.1|+|111-972|ARO:3001104|SHV-46	98.839	861	10	0	2931306	2932166	1	861	0.0	1535
